Product Name,Price
"Apple iPhone 16 (Black, 128 GB)","₹74,900"
"Apple iPhone 16 (Pink, 128 GB)","₹74,900"
"Apple iPhone 13 (Starlight, 128 GB)","₹44,999"
"Apple iPhone 16 (White, 128 GB)","₹74,900"
"Apple iPhone 16 Plus (White, 128 GB)","₹84,900"
"Apple iPhone 16e (White, 128 GB)","₹54,900"
"Apple iPhone 16 (Teal, 128 GB)","₹74,900"
"Apple iPhone 16 Plus (Black, 128 GB)","₹84,900"
"Apple iPhone 13 (Midnight, 128 GB)","₹44,999"
"Apple iPhone 13 (Blue, 128 GB)","₹44,999"
"Apple iPhone 16 (Ultramarine, 128 GB)","₹74,900"
"Apple iPhone 15 (Blue, 128 GB)","₹64,400"
"Apple iPhone 16 (Black, 256 GB)","₹84,900"
"Apple iPhone 16 (Ultramarine, 256 GB)","₹84,900"
"Apple iPhone 14 (Starlight, 128 GB)","₹54,999"
"Apple iPhone 16 (Pink, 256 GB)","₹84,900"
"Apple iPhone 16 (White, 256 GB)","₹84,900"
"Apple iPhone 15 Plus (Green, 256 GB)","₹84,900"
"Apple iPhone 16 Pro (Desert Titanium, 256 GB)","₹1,22,900"
"Apple iPhone 16 Plus (Ultramarine, 256 GB)","₹94,900"
"Apple iPhone 16 (Teal, 256 GB)","₹84,900"
"Apple iPhone 16 Plus (Teal, 128 GB)","₹84,900"
"Apple iPhone 16 Plus (Pink, 256 GB)","₹94,900"
"Apple iPhone 15 (Pink, 256 GB)","₹74,400"
